operation,complexity,scale,num_sequences,threads,assignment,time_ms,speedup_vs_1t,efficiency,throughput_seqs_per_sec
at_content,0.35,Small,1000,1,default,0.029835,1.0000,1.0000,33517118.87
at_content,0.35,Small,1000,2,default,0.024873,1.1995,0.5998,40204662.89
at_content,0.35,Small,1000,2,p_cores,0.025353,1.1768,0.5884,39443063.94
at_content,0.35,Small,1000,2,e_cores,0.050906,0.5861,0.2930,19644011.23
at_content,0.35,Small,1000,4,default,0.058463,0.5103,0.1276,17104981.83
at_content,0.35,Small,1000,4,p_cores,0.050324,0.5929,0.1482,19871047.36
at_content,0.35,Small,1000,4,e_cores,0.071969,0.4146,0.1036,13894790.11
at_content,0.35,Small,1000,8,default,0.122958,0.2426,0.0303,8132841.84
at_content,0.35,Small,1000,8,p_cores,0.118577,0.2516,0.0315,8433331.56
at_content,0.35,Small,1000,8,e_cores,0.175206,0.1703,0.0213,5707562.21
at_content,0.35,Medium,10000,1,default,0.280000,1.0000,1.0000,35714279.34
at_content,0.35,Medium,10000,2,default,0.158129,1.7707,0.8854,63239338.60
at_content,0.35,Medium,10000,2,p_cores,0.162983,1.7180,0.8590,61356035.88
at_content,0.35,Medium,10000,2,e_cores,0.161923,1.7292,0.8646,61757825.33
at_content,0.35,Medium,10000,4,default,0.111600,2.5090,0.6272,89605774.91
at_content,0.35,Medium,10000,4,p_cores,0.106748,2.6230,0.6558,93678657.85
at_content,0.35,Medium,10000,4,e_cores,0.141233,1.9825,0.4956,70804781.31
at_content,0.35,Medium,10000,8,default,0.149837,1.8687,0.2336,66739011.76
at_content,0.35,Medium,10000,8,p_cores,0.168827,1.6585,0.2073,59232196.73
at_content,0.35,Medium,10000,8,e_cores,0.212088,1.3202,0.1650,47150309.73
at_content,0.35,Large,100000,1,default,3.539437,1.0000,1.0000,28253077.34
at_content,0.35,Large,100000,2,default,1.818606,1.9462,0.9731,54987166.96
at_content,0.35,Large,100000,2,p_cores,1.796329,1.9704,0.9852,55669083.37
at_content,0.35,Large,100000,2,e_cores,1.800158,1.9662,0.9831,55550682.69
at_content,0.35,Large,100000,4,default,1.033500,3.4247,0.8562,96758597.18
at_content,0.35,Large,100000,4,p_cores,1.016811,3.4809,0.8702,98346653.01
at_content,0.35,Large,100000,4,e_cores,1.004785,3.5226,0.8806,99523739.10
at_content,0.35,Large,100000,8,default,0.710346,4.9827,0.6228,140776486.50
at_content,0.35,Large,100000,8,p_cores,0.762496,4.6419,0.5802,131148263.37
at_content,0.35,Large,100000,8,e_cores,0.764333,4.6308,0.5788,130832963.90
at_content,0.35,VeryLarge,1000000,1,default,37.593758,1.0000,1.0000,26600160.38
at_content,0.35,VeryLarge,1000000,2,default,19.417665,1.9361,0.9680,51499498.80
at_content,0.35,VeryLarge,1000000,2,p_cores,19.235090,1.9544,0.9772,51988320.48
at_content,0.35,VeryLarge,1000000,2,e_cores,19.512011,1.9267,0.9633,51250483.61
at_content,0.35,VeryLarge,1000000,4,default,10.069544,3.7334,0.9334,99309366.91
at_content,0.35,VeryLarge,1000000,4,p_cores,10.331060,3.6389,0.9097,96795484.81
at_content,0.35,VeryLarge,1000000,4,e_cores,10.548377,3.5639,0.8910,94801313.53
at_content,0.35,VeryLarge,1000000,8,default,7.146940,5.2601,0.6575,139920028.57
at_content,0.35,VeryLarge,1000000,8,p_cores,7.300877,5.1492,0.6437,136969841.29
at_content,0.35,VeryLarge,1000000,8,e_cores,7.497454,5.0142,0.6268,133378607.37
at_content,0.35,Huge,10000000,1,default,384.114890,1.0000,1.0000,26033877.50
at_content,0.35,Huge,10000000,2,default,193.911500,1.9809,0.9904,51569917.20
at_content,0.35,Huge,10000000,2,p_cores,193.788322,1.9821,0.9911,51602696.58
at_content,0.35,Huge,10000000,2,e_cores,192.678594,1.9936,0.9968,51899901.27
at_content,0.35,Huge,10000000,4,default,102.552175,3.7456,0.9364,97511339.66
at_content,0.35,Huge,10000000,4,p_cores,105.612761,3.6370,0.9093,94685527.77
at_content,0.35,Huge,10000000,4,e_cores,107.776272,3.5640,0.8910,92784801.46
at_content,0.35,Huge,10000000,8,default,71.634735,5.3621,0.6703,139597081.75
at_content,0.35,Huge,10000000,8,p_cores,71.740895,5.3542,0.6693,139390511.42
at_content,0.35,Huge,10000000,8,e_cores,74.279973,5.1712,0.6464,134625789.65
n_content,0.25,Tiny,100,1,default,0.019639,1.0000,1.0000,5091779.32
n_content,0.25,Tiny,100,2,default,0.026717,0.7351,0.3676,3742998.25
n_content,0.25,Tiny,100,2,p_cores,0.025092,0.7827,0.3914,3985397.50
n_content,0.25,Tiny,100,2,e_cores,0.048647,0.4037,0.2019,2055631.89
n_content,0.25,Tiny,100,4,default,0.048042,0.4088,0.1022,2081525.01
n_content,0.25,Tiny,100,4,p_cores,0.042931,0.4575,0.1144,2329311.00
n_content,0.25,Tiny,100,4,e_cores,0.075135,0.2614,0.0653,1330930.56
n_content,0.25,Tiny,100,8,default,0.091248,0.2152,0.0269,1095917.59
n_content,0.25,Tiny,100,8,p_cores,0.091903,0.2137,0.0267,1088099.40
n_content,0.25,Tiny,100,8,e_cores,0.148463,0.1323,0.0165,673570.54
n_content,0.25,Small,1000,1,default,0.025931,1.0000,1.0000,38563583.64
n_content,0.25,Small,1000,2,default,0.025417,1.0202,0.5101,39344055.90
n_content,0.25,Small,1000,2,p_cores,0.024371,1.0640,0.5320,41032994.85
n_content,0.25,Small,1000,2,e_cores,0.052344,0.4954,0.2477,19104477.61
n_content,0.25,Small,1000,4,default,0.052136,0.4974,0.1243,19180714.94
n_content,0.25,Small,1000,4,p_cores,0.047719,0.5434,0.1359,20956145.08
n_content,0.25,Small,1000,4,e_cores,0.084950,0.3053,0.0763,11771637.30
n_content,0.25,Small,1000,8,default,0.115320,0.2249,0.0281,8671498.97
n_content,0.25,Small,1000,8,p_cores,0.118700,0.2185,0.0273,8424614.03
n_content,0.25,Small,1000,8,e_cores,0.185615,0.1397,0.0175,5387508.68
n_content,0.25,Medium,10000,1,default,0.147558,1.0000,1.0000,67769823.86
n_content,0.25,Medium,10000,2,default,0.086125,1.7133,0.8567,116110439.61
n_content,0.25,Medium,10000,2,p_cores,0.085875,1.7183,0.8591,116448258.25
n_content,0.25,Medium,10000,2,e_cores,0.110555,1.3347,0.6674,90452801.97
n_content,0.25,Medium,10000,4,default,0.082890,1.7802,0.4450,120642469.41
n_content,0.25,Medium,10000,4,p_cores,0.086052,1.7148,0.4287,116208736.46
n_content,0.25,Medium,10000,4,e_cores,0.136944,1.0775,0.2694,73022656.01
n_content,0.25,Medium,10000,8,default,0.146948,1.0042,0.1255,68051399.22
n_content,0.25,Medium,10000,8,p_cores,0.136325,1.0824,0.1353,73354251.52
n_content,0.25,Medium,10000,8,e_cores,0.224604,0.6570,0.0821,44522755.02
n_content,0.25,Large,100000,1,default,1.758240,1.0000,1.0000,56875068.20
n_content,0.25,Large,100000,2,default,0.984219,1.7864,0.8932,101603434.28
n_content,0.25,Large,100000,2,p_cores,0.866808,2.0284,1.0142,115365761.96
n_content,0.25,Large,100000,2,e_cores,0.940714,1.8690,0.9345,106302183.41
n_content,0.25,Large,100000,4,default,0.619887,2.8364,0.7091,161319607.29
n_content,0.25,Large,100000,4,p_cores,0.637226,2.7592,0.6898,156930246.16
n_content,0.25,Large,100000,4,e_cores,0.640511,2.7451,0.6863,156125369.33
n_content,0.25,Large,100000,8,default,0.575048,3.0576,0.3822,173898526.73
n_content,0.25,Large,100000,8,p_cores,0.613752,2.8647,0.3581,162932259.28
n_content,0.25,Large,100000,8,e_cores,0.608269,2.8906,0.3613,164401028.69
n_content,0.25,VeryLarge,1000000,1,default,21.305273,1.0000,1.0000,46936737.54
n_content,0.25,VeryLarge,1000000,2,default,10.964596,1.9431,0.9715,91202631.97
n_content,0.25,VeryLarge,1000000,2,p_cores,11.203831,1.9016,0.9508,89255181.84
n_content,0.25,VeryLarge,1000000,2,e_cores,11.190823,1.9038,0.9519,89358933.96
n_content,0.25,VeryLarge,1000000,4,default,7.149509,2.9800,0.7450,139869752.11
n_content,0.25,VeryLarge,1000000,4,p_cores,6.762217,3.1506,0.7877,147880503.06
n_content,0.25,VeryLarge,1000000,4,e_cores,6.776675,3.1439,0.7860,147564982.84
n_content,0.25,VeryLarge,1000000,8,default,5.728694,3.7190,0.4649,174559862.15
n_content,0.25,VeryLarge,1000000,8,p_cores,5.933379,3.5907,0.4488,168538024.41
n_content,0.25,VeryLarge,1000000,8,e_cores,5.940713,3.5863,0.4483,168329975.84
n_content,0.25,Huge,10000000,1,default,215.400728,1.0000,1.0000,46425098.41
n_content,0.25,Huge,10000000,2,default,113.824305,1.8924,0.9462,87854698.68
n_content,0.25,Huge,10000000,2,p_cores,113.302981,1.9011,0.9506,88258930.96
n_content,0.25,Huge,10000000,2,e_cores,111.915197,1.9247,0.9623,89353369.65
n_content,0.25,Huge,10000000,4,default,67.134814,3.2085,0.8021,148954014.45
n_content,0.25,Huge,10000000,4,p_cores,67.644456,3.1843,0.7961,147831774.68
n_content,0.25,Huge,10000000,4,e_cores,67.458531,3.1931,0.7983,148239220.20
n_content,0.25,Huge,10000000,8,default,56.111844,3.8388,0.4798,178215494.68
n_content,0.25,Huge,10000000,8,p_cores,55.614877,3.8731,0.4841,179808003.05
n_content,0.25,Huge,10000000,8,e_cores,56.774605,3.7940,0.4742,176135086.99
sequence_length,0.20,Tiny,100,1,default,0.016730,1.0000,1.0000,5977211.10
sequence_length,0.20,Tiny,100,2,default,0.024596,0.6802,0.3401,4065734.80
sequence_length,0.20,Tiny,100,2,p_cores,0.023169,0.7221,0.3611,4316158.62
sequence_length,0.20,Tiny,100,2,e_cores,0.045438,0.3682,0.1841,2200820.47
sequence_length,0.20,Tiny,100,4,default,0.038896,0.4301,0.1075,2570974.98
sequence_length,0.20,Tiny,100,4,p_cores,0.042099,0.3974,0.0994,2375374.12
sequence_length,0.20,Tiny,100,4,e_cores,0.067552,0.2477,0.0619,1480338.88
sequence_length,0.20,Tiny,100,8,default,0.093406,0.1791,0.0224,1070591.60
sequence_length,0.20,Tiny,100,8,p_cores,0.089485,0.1870,0.0234,1117500.11
sequence_length,0.20,Tiny,100,8,e_cores,0.213754,0.0783,0.0098,467826.70
sequence_length,0.20,Small,1000,1,default,0.016508,1.0000,1.0000,60575772.72
sequence_length,0.20,Small,1000,2,default,0.025531,0.6466,0.3233,39167609.95
sequence_length,0.20,Small,1000,2,p_cores,0.023358,0.7067,0.3534,42811334.73
sequence_length,0.20,Small,1000,2,e_cores,0.050408,0.3275,0.1637,19838002.87
sequence_length,0.20,Small,1000,4,default,0.042023,0.3928,0.0982,23796633.97
sequence_length,0.20,Small,1000,4,p_cores,0.040923,0.4034,0.1008,24436195.87
sequence_length,0.20,Small,1000,4,e_cores,0.066522,0.2482,0.0620,15032620.79
sequence_length,0.20,Small,1000,8,default,0.107277,0.1539,0.0192,9321645.23
sequence_length,0.20,Small,1000,8,p_cores,0.090827,0.1818,0.0227,11009917.73
sequence_length,0.20,Small,1000,8,e_cores,0.157006,0.1051,0.0131,6369173.20
sequence_length,0.20,Medium,10000,1,default,0.019212,1.0000,1.0000,520497178.91
sequence_length,0.20,Medium,10000,2,default,0.022610,0.8497,0.4249,442289382.96
sequence_length,0.20,Medium,10000,2,p_cores,0.021991,0.8736,0.4368,454726039.53
sequence_length,0.20,Medium,10000,2,e_cores,0.053829,0.3569,0.1785,185773122.72
sequence_length,0.20,Medium,10000,4,default,0.048150,0.3990,0.0998,207684751.16
sequence_length,0.20,Medium,10000,4,p_cores,0.050239,0.3824,0.0956,199046566.94
sequence_length,0.20,Medium,10000,4,e_cores,0.097379,0.1973,0.0493,102691545.41
sequence_length,0.20,Medium,10000,8,default,0.113548,0.1692,0.0212,88068318.77
sequence_length,0.20,Medium,10000,8,p_cores,0.111200,0.1728,0.0216,89928057.55
sequence_length,0.20,Medium,10000,8,e_cores,0.174848,0.1099,0.0137,57192582.01
sequence_length,0.20,Large,100000,1,default,0.076042,1.0000,1.0000,1315067051.98
sequence_length,0.20,Large,100000,2,default,0.056040,1.3569,0.6785,1784453093.30
sequence_length,0.20,Large,100000,2,p_cores,0.055147,1.3789,0.6894,1813335267.56
sequence_length,0.20,Large,100000,2,e_cores,0.083067,0.9154,0.4577,1203854742.89
sequence_length,0.20,Large,100000,4,default,0.076148,0.9986,0.2497,1313232126.91
sequence_length,0.20,Large,100000,4,p_cores,0.067267,1.1305,0.2826,1486619679.57
sequence_length,0.20,Large,100000,4,e_cores,0.105432,0.7212,0.1803,948479587.22
sequence_length,0.20,Large,100000,8,default,0.129517,0.5871,0.0734,772102098.15
sequence_length,0.20,Large,100000,8,p_cores,0.117317,0.6482,0.0810,852393927.03
sequence_length,0.20,Large,100000,8,e_cores,0.202017,0.3764,0.0471,495008580.97
sequence_length,0.20,VeryLarge,1000000,1,default,1.062681,1.0000,1.0000,941015900.06
sequence_length,0.20,VeryLarge,1000000,2,default,1.055213,1.0071,0.5035,947676415.89
sequence_length,0.20,VeryLarge,1000000,2,p_cores,1.056258,1.0061,0.5030,946738077.86
sequence_length,0.20,VeryLarge,1000000,2,e_cores,1.101171,0.9650,0.4825,908124458.28
sequence_length,0.20,VeryLarge,1000000,4,default,1.031531,1.0302,0.2575,969432672.97
sequence_length,0.20,VeryLarge,1000000,4,p_cores,0.945737,1.1237,0.2809,1057375913.37
sequence_length,0.20,VeryLarge,1000000,4,e_cores,1.056762,1.0056,0.2514,946286506.79
sequence_length,0.20,VeryLarge,1000000,8,default,0.794494,1.3376,0.1672,1258663221.62
sequence_length,0.20,VeryLarge,1000000,8,p_cores,0.740787,1.4345,0.1793,1349915218.22
sequence_length,0.20,VeryLarge,1000000,8,e_cores,0.898188,1.1831,0.1479,1113353280.91
sequence_length,0.20,Huge,10000000,1,default,15.758027,1.0000,1.0000,634597211.95
sequence_length,0.20,Huge,10000000,2,default,11.252760,1.4004,0.7002,888670832.76
sequence_length,0.20,Huge,10000000,2,p_cores,9.969871,1.5806,0.7903,1003022047.36
sequence_length,0.20,Huge,10000000,2,e_cores,10.479191,1.5037,0.7519,954272157.16
sequence_length,0.20,Huge,10000000,4,default,9.749046,1.6164,0.4041,1025741379.42
sequence_length,0.20,Huge,10000000,4,p_cores,9.776083,1.6119,0.4030,1022904533.76
sequence_length,0.20,Huge,10000000,4,e_cores,9.853162,1.5993,0.3998,1014902575.70
sequence_length,0.20,Huge,10000000,8,default,6.992939,2.2534,0.2817,1430013812.00
sequence_length,0.20,Huge,10000000,8,p_cores,7.159008,2.2011,0.2751,1396841524.80
sequence_length,0.20,Huge,10000000,8,e_cores,6.857552,2.2979,0.2872,1458246314.00
reverse_complement,0.45,Tiny,100,1,default,0.027950,1.0000,1.0000,3577864.69
reverse_complement,0.45,Tiny,100,2,default,0.032288,0.8656,0.4328,3097164.24
reverse_complement,0.45,Tiny,100,2,p_cores,0.030402,0.9193,0.4597,3289251.88
reverse_complement,0.45,Tiny,100,2,e_cores,0.062336,0.4484,0.2242,1604221.03
reverse_complement,0.45,Tiny,100,4,default,0.058504,0.4777,0.1194,1709283.37
reverse_complement,0.45,Tiny,100,4,p_cores,0.050573,0.5527,0.1382,1977345.55
reverse_complement,0.45,Tiny,100,4,e_cores,0.091492,0.3055,0.0764,1092994.13
reverse_complement,0.45,Tiny,100,8,default,0.112027,0.2495,0.0312,892640.36
reverse_complement,0.45,Tiny,100,8,p_cores,0.114119,0.2449,0.0306,876279.42
reverse_complement,0.45,Tiny,100,8,e_cores,0.165460,0.1689,0.0211,604374.40
reverse_complement,0.45,Small,1000,1,default,0.113313,1.0000,1.0000,8825147.79
reverse_complement,0.45,Small,1000,2,default,0.077423,1.4636,0.7318,12916091.90
reverse_complement,0.45,Small,1000,2,p_cores,0.082224,1.3781,0.6890,12161922.56
reverse_complement,0.45,Small,1000,2,e_cores,0.129081,0.8778,0.4389,7747057.75
reverse_complement,0.45,Small,1000,4,default,0.090432,1.2530,0.3133,11058019.68
reverse_complement,0.45,Small,1000,4,p_cores,0.080463,1.4083,0.3521,12428113.18
reverse_complement,0.45,Small,1000,4,e_cores,0.138936,0.8156,0.2039,7197534.05
reverse_complement,0.45,Small,1000,8,default,0.124379,0.9110,0.1139,8039939.20
reverse_complement,0.45,Small,1000,8,p_cores,0.124819,0.9078,0.1135,8011613.64
reverse_complement,0.45,Small,1000,8,e_cores,0.220302,0.5144,0.0643,4539222.40
reverse_complement,0.45,Medium,10000,1,default,0.978388,1.0000,1.0000,10220892.86
