operation,config_name,config_type,threads,affinity,scale,num_sequences,pruned,throughput_median,throughput_mean,throughput_std_dev,throughput_ci_lower,throughput_ci_upper,speedup_median,speedup_mean,speedup_std_dev,speedup_ci_lower,speedup_ci_upper,elapsed_median,elapsed_mean,elapsed_std_dev,elapsed_min,elapsed_max,elapsed_q1,elapsed_q3,elapsed_iqr,n_valid,n_outliers,n_warmup
gc_content,naive,Naive,1,default,Large,100000,false,1444416.00,1442554.50,17308.89,1436091.98,1449017.02,1.0000,0.9987,0.0120,0.9942,1.0032,0.069232,0.069331,0.000834,0.067828,0.071085,0.068712,0.069791,0.001079,30,0,3
gc_content,neon,Neon,1,default,Large,100000,false,22028455.04,21812264.47,889343.72,21474538.89,22149990.05,15.2508,15.1011,0.6157,14.8673,15.3349,0.004540,0.004592,0.000191,0.004296,0.004996,0.004486,0.004749,0.000263,29,1,3
gc_content,neon_2t,Neon,2,default,Large,100000,false,39020583.36,38348866.40,1926109.25,37553768.50,39143964.29,27.0148,26.5497,1.3335,25.9993,27.1002,0.002562,0.002592,0.000093,0.002482,0.002839,0.002539,0.002606,0.000068,24,6,3
gc_content,neon_4t,Neon,4,default,Large,100000,false,56672163.37,56286898.08,8146130.10,53138673.99,59435122.18,39.2353,38.9686,5.6397,36.7890,41.1482,0.001761,0.001786,0.000249,0.001422,0.002449,0.001606,0.001887,0.000281,27,3,3
gc_content,naive,Naive,1,default,VeryLarge,1000000,false,1411504.47,1404668.30,32199.49,1392646.17,1416690.44,1.0000,0.9952,0.0228,0.9866,1.0037,0.708464,0.712281,0.016673,0.692509,0.759249,0.697822,0.722412,0.024589,30,0,3
gc_content,neon,Neon,1,default,VeryLarge,1000000,false,21489366.33,21467557.39,214723.40,21387387.35,21547727.42,15.2244,15.2090,0.1521,15.1522,15.2658,0.046535,0.046586,0.000467,0.045701,0.047528,0.046338,0.046870,0.000532,30,0,3
gc_content,neon_2t,Neon,2,default,VeryLarge,1000000,false,41139953.26,41068065.31,442840.09,40902724.67,41233405.95,29.1462,29.0952,0.3137,28.9781,29.2124,0.024307,0.024353,0.000265,0.023998,0.024978,0.024142,0.024490,0.000348,30,0,3
gc_content,neon_4t,Neon,4,default,VeryLarge,1000000,false,75758540.89,75806389.81,1471720.48,75186335.96,76426443.65,53.6722,53.7061,1.0427,53.2668,54.1454,0.013200,0.013196,0.000256,0.012713,0.013675,0.013048,0.013395,0.000348,24,6,3
at_content,naive,Naive,1,default,Medium,10000,false,2077742.04,2069793.59,32510.48,2057447.83,2082139.34,1.0000,0.9962,0.0156,0.9902,1.0021,0.004813,0.004833,0.000076,0.004709,0.004979,0.004776,0.004884,0.000108,29,1,3
at_content,neon,Neon,1,default,Medium,10000,false,52270505.42,51731942.44,1389748.22,51194848.29,52269036.60,25.1574,24.8982,0.6689,24.6397,25.1567,0.000191,0.000193,0.000005,0.000188,0.000209,0.000189,0.000197,0.000008,28,2,3
at_content,neon_2t,Neon,2,default,Medium,10000,false,70194113.02,69408725.58,12873504.63,64602219.69,74215231.46,33.7838,33.4058,6.1959,31.0925,35.7192,0.000143,0.000149,0.000030,0.000111,0.000205,0.000125,0.000174,0.000049,30,0,3
at_content,neon_4t,Neon,4,default,Medium,10000,false,89452639.30,90909386.46,7859475.85,87924774.34,93893998.57,43.0528,43.7539,3.7827,42.3175,45.1904,0.000112,0.000111,0.000009,0.000093,0.000129,0.000104,0.000116,0.000012,29,1,3
at_content,naive,Naive,1,default,Large,100000,false,2107748.08,2106954.87,17312.22,2100380.61,2113529.14,1.0000,0.9996,0.0082,0.9965,1.0027,0.047444,0.047465,0.000392,0.046797,0.048438,0.047216,0.047601,0.000385,29,1,3
at_content,neon,Neon,1,default,Large,100000,false,30730824.71,30733578.20,665360.75,30476437.11,30990719.29,14.5799,14.5812,0.3157,14.4592,14.7032,0.003254,0.003255,0.000070,0.003127,0.003392,0.003226,0.003293,0.000068,28,2,3
at_content,neon_2t,Neon,2,default,Large,100000,false,57721530.76,57476448.40,1695024.07,56843587.08,58109309.72,27.3854,27.2691,0.8042,26.9689,27.5694,0.001731,0.001737,0.000045,0.001643,0.001824,0.001711,0.001770,0.000059,29,1,3
at_content,neon_4t,Neon,4,default,Large,100000,true,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
at_content,naive,Naive,1,default,VeryLarge,1000000,false,2077697.76,2070248.24,52335.09,2050374.15,2090122.33,1.0000,0.9964,0.0252,0.9868,1.0060,0.481302,0.483337,0.012445,0.466726,0.518693,0.474091,0.493193,0.019102,29,1,3
at_content,neon,Neon,1,default,VeryLarge,1000000,false,29512962.05,29440992.25,307147.58,29324353.89,29557630.61,14.2046,14.1700,0.1478,14.1139,14.2261,0.033883,0.033970,0.000356,0.033379,0.034822,0.033713,0.034194,0.000482,29,1,3
at_content,neon_2t,Neon,2,default,VeryLarge,1000000,false,56531643.47,56502589.26,324770.12,56368524.15,56636654.36,27.2088,27.1948,0.1563,27.1303,27.2593,0.017689,0.017699,0.000102,0.017538,0.017965,0.017633,0.017754,0.000122,25,5,3
at_content,neon_4t,Neon,4,default,VeryLarge,1000000,true,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
n_content,naive,Naive,1,default,Medium,10000,false,11621704.23,11587248.50,174069.72,11521146.05,11653350.95,1.0000,0.9970,0.0150,0.9913,1.0027,0.000860,0.000863,0.000013,0.000844,0.000891,0.000853,0.000874,0.000022,29,1,3
n_content,neon,Neon,1,default,Medium,10000,false,101180779.70,100347778.49,2008952.60,99518482.86,101177074.13,8.7062,8.6345,0.1729,8.5632,8.7059,0.000099,0.000099,0.000002,0.000098,0.000105,0.000099,0.000100,0.000001,24,6,3
n_content,neon_2t,Neon,2,default,Medium,10000,false,113909946.01,112863362.46,12653950.46,108138830.24,117587894.68,9.8015,9.7114,1.0888,9.3049,10.1180,0.000087,0.000088,0.000008,0.000075,0.000111,0.000081,0.000091,0.000010,28,2,3
n_content,naive,Naive,1,default,Large,100000,false,11904703.80,11889332.63,145914.14,11833922.18,11944743.08,1.0000,0.9987,0.0123,0.9941,1.0034,0.008400,0.008412,0.000104,0.008243,0.008606,0.008328,0.008503,0.000174,29,1,3
n_content,neon,Neon,1,default,Large,100000,false,68117988.53,67382141.32,3392069.64,66094013.17,68670269.48,5.7219,5.6601,0.2849,5.5519,5.7683,0.001468,0.001488,0.000078,0.001395,0.001700,0.001419,0.001546,0.000127,29,1,3
n_content,neon_2t,Neon,2,default,Large,100000,true,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
n_content,naive,Naive,1,default,VeryLarge,1000000,false,11934063.35,11930556.69,50766.68,11910196.34,11950917.05,1.0000,0.9997,0.0043,0.9980,1.0014,0.083794,0.083820,0.000357,0.083203,0.084595,0.083510,0.084047,0.000537,26,4,3
n_content,neon,Neon,1,default,VeryLarge,1000000,false,62940417.71,62508062.62,1463447.46,61952322.89,63063802.35,5.2740,5.2378,0.1226,5.1912,5.2844,0.015888,0.016007,0.000385,0.015615,0.017030,0.015736,0.016048,0.000312,29,1,3
n_content,neon_2t,Neon,2,default,VeryLarge,1000000,true,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
reverse_complement,naive,Naive,1,default,Medium,10000,false,12263359.00,11980723.51,723652.40,11710537.60,12250909.42,1.0000,0.9770,0.0590,0.9549,0.9990,0.000815,0.000833,0.000047,0.000784,0.000936,0.000796,0.000859,0.000063,29,1,3
reverse_complement,neon,Neon,1,default,Medium,10000,false,12627327.26,12477074.19,655073.06,12232493.36,12721655.03,1.0297,1.0174,0.0534,0.9975,1.0374,0.000792,0.000804,0.000044,0.000745,0.000911,0.000770,0.000837,0.000067,30,0,3
reverse_complement,naive,Naive,1,default,Large,100000,false,9517729.05,9392598.66,411880.63,9230498.74,9554698.58,1.0000,0.9869,0.0433,0.9698,1.0039,0.010507,0.010667,0.000487,0.010141,0.011735,0.010287,0.010849,0.000562,27,3,3
reverse_complement,neon,Neon,1,default,Large,100000,true,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
reverse_complement,naive,Naive,1,default,VeryLarge,1000000,false,9315222.44,9309998.73,123647.08,9261336.13,9358661.32,1.0000,0.9994,0.0133,0.9942,1.0047,0.107351,0.107430,0.001433,0.105040,0.110396,0.106494,0.108106,0.001612,27,3,3
reverse_complement,neon,Neon,1,default,VeryLarge,1000000,true,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
sequence_length,naive,Naive,1,default,Medium,10000,false,1839106600.40,1836275158.52,11101253.22,1832130347.89,1840419969.16,1.0000,0.9985,0.0060,0.9962,1.0007,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,0.000005,0.000000,30,0,3
sequence_length,neon,Neon,1,default,Medium,10000,false,1839922791.60,1853600385.25,57946912.81,1831965081.92,1875235688.57,1.0004,1.0079,0.0315,0.9961,1.0196,0.000005,0.000005,0.000000,0.000005,0.000006,0.000005,0.000006,0.000000,30,0,3
sequence_length,naive,Naive,1,default,Large,100000,false,1807239802.65,1807538247.84,3592621.71,1806124334.08,1808952161.59,1.0000,1.0002,0.0020,0.9994,1.0009,0.000055,0.000055,0.000000,0.000055,0.000056,0.000055,0.000055,0.000000,27,3,3
sequence_length,neon,Neon,1,default,Large,100000,true,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
sequence_length,naive,Naive,1,default,VeryLarge,1000000,false,915037117.48,915432420.62,71817036.08,888618509.67,942246331.56,1.0000,1.0004,0.0785,0.9711,1.0297,0.001093,0.001099,0.000089,0.000987,0.001291,0.001017,0.001182,0.000164,30,0,3
sequence_length,neon,Neon,1,default,VeryLarge,1000000,true,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
quality_aggregation,naive,Naive,1,default,Medium,10000,false,6389776.36,6395291.48,74596.33,6366963.75,6423619.21,1.0000,1.0009,0.0117,0.9964,1.0053,0.001565,0.001564,0.000018,0.001539,0.001595,0.001545,0.001574,0.000029,29,1,3
quality_aggregation,neon,Neon,1,default,Medium,10000,false,101824698.60,101773691.65,4169979.18,100190154.70,103357228.59,15.9356,15.9276,0.6526,15.6798,16.1754,0.000098,0.000098,0.000003,0.000092,0.000107,0.000095,0.000100,0.000004,27,3,3
quality_aggregation,neon_2t,Neon,2,default,Medium,10000,false,136297980.03,135062165.37,18443459.25,128176037.78,141948292.97,21.3306,21.1372,2.8864,20.0595,22.2149,0.000073,0.000076,0.000011,0.000061,0.000107,0.000068,0.000085,0.000017,30,0,3
quality_aggregation,neon_4t,Neon,4,default,Medium,10000,false,131075342.11,130404766.28,10163338.28,126404878.46,134404654.10,20.5133,20.4083,1.5906,19.7824,21.0343,0.000076,0.000077,0.000007,0.000063,0.000093,0.000073,0.000080,0.000007,28,2,3
quality_aggregation,naive,Naive,1,default,Large,100000,false,6426821.38,6417081.87,35559.10,6403339.39,6430824.35,1.0000,0.9985,0.0055,0.9963,1.0006,0.015560,0.015584,0.000087,0.015428,0.015798,0.015540,0.015624,0.000085,28,2,3
quality_aggregation,neon,Neon,1,default,Large,100000,false,73147519.02,72044337.98,3530802.51,70679793.42,73408882.54,11.3816,11.2099,0.5494,10.9976,11.4223,0.001367,0.001391,0.000071,0.001309,0.001545,0.001343,0.001432,0.000089,28,2,3
quality_aggregation,neon_2t,Neon,2,default,Large,100000,false,131557309.65,127605681.52,11284789.64,123164434.82,132046928.22,20.4700,19.8552,1.7559,19.1641,20.5462,0.000760,0.000779,0.000059,0.000722,0.000934,0.000739,0.000793,0.000054,26,4,3
quality_aggregation,neon_4t,Neon,4,default,Large,100000,true,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
quality_aggregation,naive,Naive,1,default,VeryLarge,1000000,false,6378527.33,6313059.20,154447.29,6252274.86,6373843.55,1.0000,0.9897,0.0242,0.9802,0.9993,0.156751,0.157996,0.003164,0.155440,0.166015,0.156163,0.157508,0.001345,26,4,3
quality_aggregation,neon,Neon,1,default,VeryLarge,1000000,false,67477425.93,67497433.56,371446.12,67348462.31,67646404.81,10.5788,10.5820,0.0582,10.5586,10.6053,0.014820,0.014816,0.000082,0.014660,0.015010,0.014752,0.014856,0.000103,26,4,3
quality_aggregation,neon_2t,Neon,2,default,VeryLarge,1000000,false,127896307.81,127256598.88,2709090.66,126227829.93,128285367.84,20.0511,19.9508,0.4247,19.7895,20.1121,0.007819,0.007862,0.000169,0.007587,0.008266,0.007734,0.008013,0.000279,29,1,3
quality_aggregation,neon_4t,Neon,4,default,VeryLarge,1000000,true,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
quality_filter,naive,Naive,1,default,Medium,10000,false,106289127.69,105744177.46,2683041.96,104636617.74,106851737.18,1.0000,0.9949,0.0252,0.9845,1.0053,0.000094,0.000095,0.000002,0.000092,0.000103,0.000094,0.000095,0.000002,25,5,3
quality_filter,neon,Neon,1,default,Medium,10000,false,123076923.08,121893341.06,4416465.16,120216201.81,123570480.31,1.1579,1.1468,0.0416,1.1310,1.1626,0.000081,0.000082,0.000003,0.000079,0.000090,0.000080,0.000084,0.000005,29,1,3
quality_filter,naive,Naive,1,default,Large,100000,false,78404837.24,78185654.21,3061655.96,77002420.09,79368888.33,1.0000,0.9972,0.0390,0.9821,1.0123,0.001275,0.001281,0.000051,0.001190,0.001409,0.001251,0.001319,0.000068,28,2,3
quality_filter,neon,Neon,1,default,Large,100000,true,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
quality_filter,naive,Naive,1,default,VeryLarge,1000000,false,70107216.02,70018799.26,654116.14,69766003.86,70271594.66,1.0000,0.9987,0.0093,0.9951,1.0023,0.014264,0.014283,0.000134,0.014057,0.014567,0.014197,0.014360,0.000163,28,2,3
quality_filter,neon,Neon,1,default,VeryLarge,1000000,true,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
length_filter,naive,Naive,1,default,Medium,10000,false,1777777777.78,1776420998.24,12272628.80,1771590977.12,1781251019.35,1.0000,0.9992,0.0069,0.9965,1.0020,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,0.000006,0.000000,27,3,3
length_filter,neon,Neon,1,default,Medium,10000,false,1832172957.13,1834404835.63,8276657.13,1831314628.08,1837495043.18,1.0306,1.0319,0.0047,1.0301,1.0336,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,0.000005,0.000000,30,0,3
length_filter,naive,Naive,1,default,Large,100000,false,1851851851.85,1850204883.40,5331342.85,1847958723.42,1852451043.37,1.0000,0.9991,0.0029,0.9979,1.0003,0.000054,0.000054,0.000000,0.000054,0.000055,0.000054,0.000054,0.000000,24,6,3
length_filter,neon,Neon,1,default,Large,100000,true,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
length_filter,naive,Naive,1,default,VeryLarge,1000000,false,921376314.35,903503322.68,67078012.54,878458793.52,928547851.85,1.0000,0.9806,0.0728,0.9534,1.0078,0.001085,0.001113,0.000089,0.001004,0.001369,0.001051,0.001182,0.000131,30,0,3
length_filter,neon,Neon,1,default,VeryLarge,1000000,true,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
complexity_score,naive,Naive,1,default,Medium,10000,false,5576728.18,5569390.20,53205.94,5549525.01,5589255.40,1.0000,0.9987,0.0095,0.9951,1.0022,0.001793,0.001796,0.000017,0.001767,0.001831,0.001785,0.001809,0.000023,30,0,3
complexity_score,neon,Neon,1,default,Medium,10000,false,5583280.04,5564567.07,81852.50,5534006.28,5595127.86,1.0012,0.9978,0.0147,0.9923,1.0033,0.001791,0.001797,0.000027,0.001761,0.001863,0.001775,0.001814,0.000039,30,0,3
complexity_score,naive,Naive,1,default,Large,100000,false,5599973.49,5598474.37,25257.78,5588344.55,5608604.19,1.0000,0.9997,0.0045,0.9979,1.0015,0.017857,0.017862,0.000081,0.017667,0.018054,0.017819,0.017907,0.000088,26,4,3
complexity_score,neon,Neon,1,default,Large,100000,true,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
complexity_score,naive,Naive,1,default,VeryLarge,1000000,false,5581668.31,5559671.90,52338.93,5538680.98,5580662.82,1.0000,0.9961,0.0094,0.9923,0.9998,0.179158,0.179882,0.001712,0.177799,0.184255,0.178829,0.180578,0.001750,26,4,3
complexity_score,neon,Neon,1,default,VeryLarge,1000000,true,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
