operation,config_name,config_type,threads,affinity,scale,num_sequences,pruned,throughput_median,throughput_mean,throughput_std_dev,throughput_ci_lower,throughput_ci_upper,speedup_median,speedup_mean,speedup_std_dev,speedup_ci_lower,speedup_ci_upper,elapsed_median,elapsed_mean,elapsed_std_dev,elapsed_min,elapsed_max,elapsed_q1,elapsed_q3,elapsed_iqr,n_valid,n_outliers,n_warmup
at_content,neon,Neon,1,p_cores,Large,100000,false,32126367.14,31870102.03,493550.12,31682677.87,32057526.19,14.7507,14.6330,0.2266,14.5470,14.7191,0.003113,0.003138,0.000049,0.003085,0.003282,0.003103,0.003161,0.000058,29,1,3
at_content,neon,Neon,1,e_cores,Large,100000,false,31391233.48,31328627.47,316626.75,31210410.38,31446844.57,14.4132,14.3844,0.1454,14.3301,14.4387,0.003186,0.003192,0.000032,0.003149,0.003271,0.003167,0.003212,0.000045,30,0,3
n_content,neon,Neon,1,default,Medium,10000,false,100502512.56,99644850.74,1912226.79,98877937.85,100411763.63,8.5168,8.4441,0.1620,8.3791,8.5091,0.000100,0.000100,0.000002,0.000099,0.000106,0.000099,0.000102,0.000003,26,4,3
n_content,neon,Neon,1,p_cores,Medium,10000,false,103048164.71,102824894.81,861138.80,102485984.65,103163804.97,8.7325,8.7136,0.0730,8.6848,8.7423,0.000097,0.000097,0.000001,0.000096,0.000099,0.000097,0.000097,0.000000,26,4,3
n_content,neon,Neon,1,e_cores,Medium,10000,false,102850771.76,101601790.94,5625983.07,99501250.22,103702331.67,8.7157,8.6099,0.4768,8.4319,8.7879,0.000097,0.000099,0.000006,0.000092,0.000113,0.000093,0.000103,0.000010,30,0,3
n_content,neon,Neon,1,default,Large,100000,false,70020887.59,69167061.79,2037188.59,68406448.48,69927675.10,5.7484,5.6783,0.1672,5.6158,5.7407,0.001428,0.001447,0.000044,0.001401,0.001578,0.001416,0.001484,0.000068,30,0,3
n_content,neon,Neon,1,p_cores,Large,100000,false,69003091.33,68037779.14,2724853.36,66984708.68,69090849.61,5.6648,5.5855,0.2237,5.4991,5.6720,0.001444,0.001461,0.000048,0.001410,0.001583,0.001425,0.001486,0.000061,26,4,3
n_content,neon,Neon,1,e_cores,Large,100000,false,69789758.35,69699482.71,1053729.30,69284776.55,70114188.87,5.7294,5.7220,0.0865,5.6879,5.7560,0.001433,0.001435,0.000022,0.001410,0.001496,0.001417,0.001448,0.000031,27,3,3
reverse_complement,neon,Neon,1,default,Medium,10000,false,13283140.77,13135586.66,303448.21,13020353.12,13250820.20,1.0496,1.0379,0.0240,1.0288,1.0470,0.000753,0.000762,0.000018,0.000747,0.000807,0.000749,0.000770,0.000022,29,1,3
reverse_complement,neon,Neon,1,p_cores,Medium,10000,false,13123718.77,13032746.78,296655.49,12921986.24,13143507.32,1.0370,1.0298,0.0234,1.0211,1.0386,0.000762,0.000768,0.000018,0.000748,0.000812,0.000751,0.000781,0.000029,30,0,3
reverse_complement,neon,Neon,1,e_cores,Medium,10000,false,13171603.60,12989032.12,429677.31,12825863.46,13152200.77,1.0408,1.0264,0.0340,1.0135,1.0392,0.000759,0.000768,0.000023,0.000745,0.000842,0.000754,0.000778,0.000024,28,2,3
reverse_complement,neon,Neon,1,default,Large,100000,false,10998882.72,10949134.58,220380.47,10866852.40,11031416.76,1.0721,1.0673,0.0215,1.0593,1.0753,0.009092,0.009137,0.000187,0.008912,0.009580,0.009002,0.009236,0.000233,30,0,3
reverse_complement,neon,Neon,1,p_cores,Large,100000,false,11142248.20,11134809.84,179978.18,11067612.43,11202007.25,1.0861,1.0854,0.0175,1.0788,1.0919,0.008975,0.008983,0.000145,0.008717,0.009273,0.008895,0.009085,0.000191,30,0,3
reverse_complement,neon,Neon,1,e_cores,Large,100000,false,11257246.43,11236276.33,216913.82,11153903.97,11318648.70,1.0973,1.0953,0.0211,1.0872,1.1033,0.008883,0.008903,0.000174,0.008660,0.009279,0.008773,0.008985,0.000212,29,1,3
sequence_length,neon,Neon,1,default,Medium,10000,false,1818181818.18,1822693404.62,8447616.12,1819428665.62,1825958143.62,0.9583,0.9607,0.0045,0.9590,0.9624,0.000005,0.000005,0.000000,0.000005,0.000006,0.000005,0.000005,0.000000,28,2,3
sequence_length,neon,Neon,1,p_cores,Medium,10000,false,1860465116.28,1862669209.31,17011685.88,1856094725.63,1869243692.99,0.9806,0.9818,0.0090,0.9783,0.9853,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,0.000005,0.000000,28,2,3
sequence_length,neon,Neon,1,e_cores,Medium,10000,false,1791090260.23,1819313059.86,46244235.11,1802047117.54,1836579002.17,0.9441,0.9589,0.0244,0.9498,0.9680,0.000006,0.000005,0.000000,0.000005,0.000006,0.000005,0.000006,0.000000,30,0,3
sequence_length,neon,Neon,1,default,Large,100000,false,1812710727.62,1813441565.41,2452826.32,1812362208.31,1814520922.51,1.0023,1.0027,0.0014,1.0021,1.0033,0.000055,0.000055,0.000000,0.000055,0.000055,0.000055,0.000055,0.000000,22,8,3
sequence_length,neon,Neon,1,p_cores,Large,100000,false,1815442150.94,1807116942.40,36005440.49,1792253896.57,1821979988.24,1.0038,0.9992,0.0199,0.9910,1.0074,0.000055,0.000055,0.000001,0.000053,0.000058,0.000055,0.000055,0.000000,25,5,3
sequence_length,neon,Neon,1,e_cores,Large,100000,false,1811331691.06,1811048439.05,1674506.02,1810357202.97,1811739675.14,1.0015,1.0014,0.0009,1.0010,1.0017,0.000055,0.000055,0.000000,0.000055,0.000055,0.000055,0.000055,0.000000,25,5,3
quality_aggregation,neon,Neon,1,default,Medium,10000,false,105217748.13,105198555.10,419186.28,105018148.33,105378961.87,16.1470,16.1440,0.0643,16.1163,16.1717,0.000095,0.000095,0.000000,0.000094,0.000096,0.000095,0.000095,0.000001,23,7,3
quality_aggregation,neon,Neon,1,p_cores,Medium,10000,false,111008120.25,110744517.85,612890.33,110507654.94,110981380.77,17.0356,16.9951,0.0941,16.9588,17.0315,0.000090,0.000090,0.000001,0.000090,0.000092,0.000090,0.000091,0.000001,28,2,3
quality_aggregation,neon,Neon,1,e_cores,Medium,10000,false,107022844.08,105305318.96,3215115.11,104104910.05,106505727.88,16.4240,16.1604,0.4934,15.9762,16.3446,0.000093,0.000095,0.000003,0.000092,0.000102,0.000093,0.000098,0.000005,30,0,3
quality_aggregation,neon,Neon,1,default,Large,100000,false,74234420.42,73678575.51,1756822.78,73011427.39,74345723.64,11.4032,11.3178,0.2699,11.2153,11.4203,0.001346,0.001355,0.000028,0.001321,0.001414,0.001332,0.001372,0.000040,28,2,3
quality_aggregation,neon,Neon,1,p_cores,Large,100000,false,74068345.74,73705933.56,1792184.83,73013310.27,74398556.86,11.3777,11.3220,0.2753,11.2156,11.4284,0.001350,0.001358,0.000034,0.001322,0.001436,0.001331,0.001376,0.000045,28,2,3
quality_aggregation,neon,Neon,1,e_cores,Large,100000,false,72826968.87,72792422.12,2023435.53,72036943.71,73547900.53,11.1870,11.1817,0.3108,11.0656,11.2977,0.001373,0.001375,0.000039,0.001316,0.001456,0.001340,0.001398,0.000057,30,0,3
quality_filter,neon,Neon,1,default,Medium,10000,false,129449838.19,129158902.58,988855.48,128750703.03,129567102.12,1.1963,1.1936,0.0091,1.1899,1.1974,0.000077,0.000077,0.000001,0.000077,0.000080,0.000077,0.000077,0.000000,25,5,3
quality_filter,neon,Neon,1,p_cores,Medium,10000,false,131255136.66,131207209.10,257314.24,131107765.21,131306652.99,1.2130,1.2126,0.0024,1.2117,1.2135,0.000076,0.000076,0.000000,0.000076,0.000077,0.000076,0.000076,0.000000,28,2,3
quality_filter,neon,Neon,1,e_cores,Medium,10000,false,131433678.57,131431994.69,209310.50,131345591.32,131518398.06,1.2147,1.2146,0.0019,1.2138,1.2154,0.000076,0.000076,0.000000,0.000076,0.000076,0.000076,0.000076,0.000000,25,5,3
quality_filter,neon,Neon,1,default,Large,100000,false,87716066.60,87153998.10,2150062.50,86307818.57,88000177.63,1.0521,1.0453,0.0258,1.0352,1.0555,0.001140,0.001148,0.000030,0.001122,0.001244,0.001128,0.001156,0.000029,27,3,3
quality_filter,neon,Neon,1,p_cores,Large,100000,false,88078301.23,87163927.22,2095733.09,86381455.49,87946398.95,1.0564,1.0455,0.0251,1.0361,1.0548,0.001135,0.001143,0.000023,0.001121,0.001202,0.001129,0.001154,0.000025,28,2,3
quality_filter,neon,Neon,1,e_cores,Large,100000,false,85190993.95,84735087.96,2849612.75,83652956.16,85817219.76,1.0218,1.0163,0.0342,1.0033,1.0293,0.001174,0.001177,0.000035,0.001121,0.001262,0.001153,0.001205,0.000051,28,2,3
length_filter,neon,Neon,1,default,Medium,10000,false,1831837332.84,1822216653.75,18327103.94,1815133802.20,1829299505.30,0.9998,0.9946,0.0100,0.9907,0.9984,0.000005,0.000005,0.000000,0.000005,0.000006,0.000005,0.000006,0.000000,28,2,3
length_filter,neon,Neon,1,p_cores,Medium,10000,false,1832172957.13,1832081423.23,152991.75,1832014099.78,1832148746.68,1.0000,1.0000,0.0001,0.9999,1.0000,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,0.000005,0.000000,22,8,3
length_filter,neon,Neon,1,e_cores,Medium,10000,false,1832172957.13,1837764799.89,9519334.16,1834210621.22,1841318978.57,1.0000,1.0031,0.0052,1.0011,1.0050,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,0.000005,0.000000,30,0,3
length_filter,neon,Neon,1,default,Large,100000,false,1873536299.77,1874069421.39,3548313.50,1872604677.58,1875534165.21,0.9157,0.9160,0.0017,0.9152,0.9167,0.000053,0.000053,0.000000,0.000053,0.000054,0.000053,0.000053,0.000000,25,5,3
length_filter,neon,Neon,1,p_cores,Large,100000,false,1869158878.50,1867542421.20,3045454.62,1866343850.76,1868740991.64,0.9136,0.9128,0.0015,0.9122,0.9133,0.000053,0.000054,0.000000,0.000053,0.000054,0.000053,0.000054,0.000000,27,3,3
length_filter,neon,Neon,1,e_cores,Large,100000,false,1873536299.77,1873904029.47,1763942.56,1873222320.93,1874585738.02,0.9157,0.9159,0.0009,0.9155,0.9162,0.000053,0.000053,0.000000,0.000053,0.000053,0.000053,0.000053,0.000000,28,2,3
complexity_score,neon,Neon,1,default,Medium,10000,false,5833243.93,5808547.14,161359.64,5748301.22,5868793.05,1.0283,1.0240,0.0284,1.0134,1.0346,0.001714,0.001723,0.000048,0.001624,0.001797,0.001697,0.001760,0.000063,30,0,3
complexity_score,neon,Neon,1,p_cores,Medium,10000,false,5793466.62,5781886.22,53261.75,5762000.19,5801772.26,1.0213,1.0193,0.0094,1.0158,1.0228,0.001726,0.001730,0.000016,0.001703,0.001764,0.001718,0.001742,0.000024,30,0,3
complexity_score,neon,Neon,1,e_cores,Medium,10000,false,5786061.31,5777905.89,29280.17,5766590.03,5789221.76,1.0200,1.0186,0.0052,1.0166,1.0206,0.001728,0.001731,0.000009,0.001719,0.001749,0.001724,0.001738,0.000014,28,2,3
complexity_score,neon,Neon,1,default,Large,100000,false,5714829.77,5711974.28,30437.64,5700415.67,5723532.88,0.9920,0.9915,0.0053,0.9895,0.9936,0.017497,0.017497,0.000109,0.017189,0.017692,0.017425,0.017586,0.000161,30,0,3
complexity_score,neon,Neon,1,p_cores,Large,100000,false,5701051.13,5700119.64,34305.35,5686618.41,5713620.87,0.9897,0.9895,0.0060,0.9871,0.9918,0.017541,0.017544,0.000105,0.017292,0.017701,0.017486,0.017640,0.000154,27,3,3
complexity_score,neon,Neon,1,e_cores,Large,100000,false,5765204.83,5753072.68,53306.20,5732471.50,5773673.85,1.0008,0.9987,0.0093,0.9951,1.0023,0.017345,0.017383,0.000162,0.017104,0.017697,0.017280,0.017514,0.000234,28,2,3
